	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	B1	B2	B3	B4	B5	B6	B7	B8	B9
H1		1						4																												
H2									4																											
H3							1			4																										
H4															4											2										
H5													3													1										
H6																						2				2										
H7	1					1	2																													
H8		1										2																								
H9	4																																			
H10		1												3																						
H11					3															1		1														
H12				4																																
H13														1	3											1										
H14		2							1			1																								
H15											2	2							2																	
C1			3																																	
C2																	1					1	1			2										
C3																	3					1		1												
C4																				3							1									
C5																					4															
C6																	1				1						2									
C7																	3																			
C8																									3											
C9																														3		1				
C10																					1				1							1		1		
C11																	1				1	1				1										
C12			1																		2						1									
B1																																	3		3	
B2																						2				1							1			
B3																												2				1		2		
B4																	1	2																		2
B5																												2		1				1		
B6																													1		1					2
B7																												2		1		2				
B8																																	3		2	
B9																		1													2					1
